"Stkcd","Stknme","Listdt","Cuntrycd","Conme","Conme_en","Indcd","Indnme","Nindcd","Nindnme","Nnindcd","Nnindnme","Estbdt","PROVINCE","PROVINCECODE","CITY","CITYCODE","OWNERSHIPTYPE","OWNERSHIPTYPECODE","Favaldt","Curtrd","Ipoprm","Ipoprc","Ipocur","Nshripo","Parvcur","Ipodt","Parval","Sctcd","Statco","Crcd","Statdt","Commnt","Markettype"
"000001","平安银行","1991-04-03","10","平安银行股份有限公司","Ping An Bank Co., Ltd.","0001","金融","I01","银行业","J66","货币金融服务","1987-12-22","广东省","440000","深圳市","440300","私营企业","P0306","1991-04-03","CNY","20.0000","40.0000","CNY","350","CNY","1989-03-10","20.000","2","A","","2021-08-27","","4"
"000002","万科A","1991-01-29","10","万科企业股份有限公司","China Vanke Co., Ltd.","0003","房地产","J","房地产业","K70","房地产业","1988-11-01","广东省","440000","深圳市","440300","国营或国有控股","P0301","1991-01-29","CNY","0.0000","1.0000","CNY","28000","CNY","1988-12-28","1.000","2","A","","2021-08-27","02202","4"
"000166","申万宏源","2015-01-26","10","申万宏源集团股份有限公司","Shenwan Hongyuan Group Co., Ltd.","0001","金融","I21","证券、期货业","J67","资本市场服务","1996-09-16","新疆维吾尔自治区","650000","乌鲁木齐市","650100","国营或国有控股","P0301","2015-01-26","CNY","3.8600","4.8600","CNY","8140985","CNY","2015-01-25","1.000","2","A","","2021-08-27","06806","4"
"002241","歌尔股份","2008-05-22","10","歌尔股份有限公司","Goertek Inc.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","2001-06-25","山东省","370000","潍坊市","370700","私营企业","P0306","2008-05-22","CNY","17.7800","18.7800","CNY","30000","CNY","2008-05-14","1.000","2","A","","2021-08-27","","4"
"002415","海康威视","2010-05-28","10","杭州海康威视数字技术股份有限公司","Hangzhou Hikvision Digital Technology Co., Ltd.","0005","工业","G","信息技术业","C39","计算机、通信和其他电子设备制造业","2001-11-30","浙江省","330000","杭州市","330100","国营或国有控股","P0301","2010-05-28","CNY","67.0000","68.0000","CNY","50000","CNY","2010-05-17","1.000","2","A","","2021-08-27","","4"
"600028","中国石化","2001-08-08","10","中国石油化工股份有限公司","China Petroleum & Chemical Corporation","0005","工业","B03","石油和天然气开采业","B07","石油和天然气开采业","2000-02-25","北京市","110000","北京市","110000","国营或国有控股","P0301","2001-08-08","CNY","3.2200","4.2200","CNY","2800000","CNY","2001-07-16","1.000","1","A","","2021-08-27","00386","1"
"600519","贵州茅台","2001-08-27","10","贵州茅台酒股份有限公司","Kweichow Moutai Co., Ltd.","0005","工业","C05","饮料制造业","C15","酒、饮料和精制茶制造业","1999-11-20","贵州省","520000","遵义市","520300","国营或国有控股","P0301","2001-08-27","CNY","30.3900","31.3900","CNY","71500","CNY","2001-07-31","1.000","1","A","","2021-08-27","","1"
"601398","工商银行","2006-10-27","10","中国工商银行股份有限公司","Industrial and Commercial Bank of China Limited","0001","金融","I01","银行业","J66","货币金融服务","1984-01-01","北京市","110000","北京市","110000","国营或国有控股","P0301","2006-10-27","CNY","2.1200","3.1200","CNY","13000000","CNY","2006-10-19","1.000","1","A","","2021-08-27","01398","1"
"603233","大参林","2017-07-31","10","大参林医药集团股份有限公司","Dashenlin Pharmaceutical Group Co., Ltd.","0006","商业","H11","零售业","F52","零售业","1999-02-12","广东省","440000","广州市","440100","私营企业","P0306","2017-07-31","CNY","23.7200","24.7200","CNY","40010","CNY","2017-07-19","1.000","1","A","","2021-08-27","","1"
"603288","海天味业","2014-02-11","10","佛山市海天调味食品股份有限公司","Foshan Haitian Flavouring and Food Co., Ltd.","0005","工业","C03","食品制造业","C14","食品制造业","1995-08-30","广东省","440000","佛山市","440600","私营企业","P0306","2014-02-11","CNY","50.2500","51.2500","CNY","74850","CNY","2014-01-24","1.000","1","A","","2021-08-27","","1"
